@relation TestInstances

@attribute p_0 numeric
@attribute p_1 numeric
@attribute p_2 numeric
@attribute p_3 numeric
@attribute p_4 numeric
@attribute p_5 numeric
@attribute p_6 numeric
@attribute p_7 numeric
@attribute p_8 numeric
@attribute p_9 numeric
@attribute p_10 numeric
@attribute p_11 numeric
@attribute p_12 numeric
@attribute p_13 numeric
@attribute p_14 numeric
@attribute p_15 numeric

@data
{3 0.5,7 0.5,11 0.5,15 0.5}
{8 0.57735,12 0.57735,15 0.57735}
{2 0.27735,3 0.27735,5 0.27735,6 0.27735,7 0.27735,8 0.27735,9 0.27735,10 0.27735,11 0.27735,12 0.27735,13 0.27735,14 0.27735,15 0.27735}
{0 0.333333,1 0.333333,4 0.333333,5 0.333333,8 0.333333,9 0.333333,10 0.333333,12 0.333333,14 0.333333}
{3 0.408248,6 0.408248,7 0.408248,9 0.408248,10 0.408248,11 0.408248}
{0 0.258199,1 0.258199,2 0.258199,3 0.258199,4 0.258199,5 0.258199,6 0.258199,7 0.258199,8 0.258199,9 0.258199,10 0.258199,11 0.258199,12 0.258199,14 0.258199,15 0.258199}
{}
{}
{4 0.408248,8 0.408248,9 0.408248,12 0.408248,13 0.408248,14 0.408248}
{}
{}
{}
{}
{}
{}
{}
{3 1}
{}
{1 0.707107,2 0.707107}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{0 0.333333,1 0.333333,2 0.333333,3 0.333333,4 0.333333,5 0.333333,6 0.333333,8 0.333333,9 0.333333}
{0 1}
{}
{}
{}
{1 0.57735,2 0.57735,5 0.57735}
{}
{1 0.57735,2 0.57735,3 0.57735}
{}
{8 0.707107,9 0.707107}
{}
{}
{}
{}
{}
{}
{}
{13 0.57735,14 0.57735,15 0.57735}
{5 0.333333,6 0.333333,7 0.333333,8 0.333333,9 0.333333,10 0.333333,11 0.333333,12 0.333333,13 0.333333}
{4 1}
{}
{}
{8 0.408248,9 0.408248,10 0.408248,12 0.408248,13 0.408248,14 0.408248}
{}
{15 1}
{8 0.353553,9 0.353553,10 0.353553,11 0.353553,12 0.353553,13 0.353553,14 0.353553,15 0.353553}
{14 1}
{}
{7 1}
{1 0.377964,2 0.377964,4 0.377964,5 0.377964,6 0.377964,7 0.377964,11 0.377964}
{0 0.57735,3 0.57735,7 0.57735}
{0 0.333333,1 0.333333,2 0.333333,3 0.333333,4 0.333333,5 0.333333,6 0.333333,7 0.333333,8 0.333333}
{0 0.57735,1 0.57735,4 0.57735}
{}
{12 0.57735,13 0.57735,15 0.57735}
{9 0.447214,10 0.447214,12 0.447214,13 0.447214,14 0.447214}
{4 0.5,5 0.5,8 0.5,9 0.5}
{}
{12 0.707107,13 0.707107}
{}
{}
{}
{}
{4 0.5,5 0.5,9 0.5,10 0.5}
{9 0.408248,10 0.408248,11 0.408248,13 0.408248,14 0.408248,15 0.408248}
{12 1}
{1 0.57735,2 0.57735,3 0.57735}
{0 0.5,1 0.5,2 0.5,3 0.5}
{}
{11 0.707107,15 0.707107}
{4 0.5,5 0.5,8 0.5,9 0.5}
{1 0.447214,2 0.447214,3 0.447214,6 0.447214,7 0.447214}
{0 0.707107,1 0.707107}
{2 0.707107,3 0.707107}
{}
{3 0.707107,7 0.707107}
{3 0.707107,7 0.707107}
{0 0.447214,1 0.447214,4 0.447214,7 0.447214,11 0.447214}
{4 0.57735,5 0.57735,8 0.57735}
{11 0.57735,14 0.57735,15 0.57735}
{3 0.333333,4 0.333333,5 0.333333,7 0.333333,8 0.333333,9 0.333333,11 0.333333,12 0.333333,15 0.333333}
{4 0.408248,8 0.408248,12 0.408248,13 0.408248,14 0.408248,15 0.408248}
{7 0.5,10 0.5,11 0.5,15 0.5}
{0 0.447214,1 0.447214,4 0.447214,5 0.447214,8 0.447214}
{4 0.57735,5 0.57735,6 0.57735}
{14 0.707107,15 0.707107}
{5 0.408248,6 0.408248,8 0.408248,9 0.408248,12 0.408248,13 0.408248}
{}
{2 0.316228,3 0.316228,6 0.316228,7 0.316228,9 0.316228,10 0.316228,11 0.316228,13 0.316228,14 0.316228,15 0.316228}
{0 0.333333,1 0.333333,4 0.333333,5 0.333333,6 0.333333,8 0.333333,9 0.333333,12 0.333333,13 0.333333}
{}
{10 0.447214,11 0.447214,13 0.447214,14 0.447214,15 0.447214}
{}
{0 0.333333,1 0.333333,2 0.333333,3 0.333333,5 0.333333,6 0.333333,7 0.333333,11 0.333333,15 0.333333}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.27735,1 0.27735,2 0.27735,4 0.27735,5 0.27735,6 0.27735,8 0.27735,9 0.27735,10 0.27735,12 0.27735,13 0.27735,14 0.27735,15 0.27735}
{}
{}
{}
{}
{}
{}
{}
{3 0.333333,6 0.333333,7 0.333333,9 0.333333,10 0.333333,11 0.333333,13 0.333333,14 0.333333,15 0.333333}
{0 0.353553,1 0.353553,2 0.353553,3 0.353553,4 0.353553,5 0.353553,6 0.353553,7 0.353553}
{0 1}
{}
{3 0.707107,7 0.707107}
{0 0.27735,3 0.27735,4 0.27735,5 0.27735,7 0.27735,8 0.27735,9 0.27735,10 0.27735,11 0.27735,12 0.27735,13 0.27735,14 0.27735,15 0.27735}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.353553,4 0.353553,5 0.353553,8 0.353553,9 0.353553,12 0.353553,13 0.353553,14 0.353553}
{7 0.377964,10 0.377964,11 0.377964,12 0.377964,13 0.377964,14 0.377964,15 0.377964}
{0 0.258199,2 0.258199,3 0.258199,4 0.258199,5 0.258199,6 0.258199,7 0.258199,8 0.258199,9 0.258199,10 0.258199,11 0.258199,12 0.258199,13 0.258199,14 0.258199,15 0.258199}
{0 0.353553,4 0.353553,5 0.353553,6 0.353553,8 0.353553,9 0.353553,12 0.353553,13 0.353553}
{}
{0 0.267261,1 0.267261,2 0.267261,5 0.267261,6 0.267261,7 0.267261,8 0.267261,9 0.267261,10 0.267261,11 0.267261,12 0.267261,13 0.267261,14 0.267261,15 0.267261}
{4 0.353553,8 0.353553,9 0.353553,10 0.353553,12 0.353553,13 0.353553,14 0.353553,15 0.353553}
{6 0.447214,7 0.447214,11 0.447214,12 0.447214,15 0.447214}
{4 0.316228,5 0.316228,8 0.316228,9 0.316228,10 0.316228,11 0.316228,12 0.316228,13 0.316228,14 0.316228,15 0.316228}
{8 0.353553,9 0.353553,10 0.353553,11 0.353553,12 0.353553,13 0.353553,14 0.353553,15 0.353553}
{8 0.447214,12 0.447214,13 0.447214,14 0.447214,15 0.447214}
{9 0.447214,12 0.447214,13 0.447214,14 0.447214,15 0.447214}
{}
{}
{}
{}
{}
{}
{}
{}
{13 0.57735,14 0.57735,15 0.57735}
{12 0.57735,13 0.57735,14 0.57735}
{15 1}
{12 0.5,13 0.5,14 0.5,15 0.5}
{12 0.5,13 0.5,14 0.5,15 0.5}
{8 0.377964,10 0.377964,11 0.377964,12 0.377964,13 0.377964,14 0.377964,15 0.377964}
{4 0.288675,5 0.288675,6 0.288675,7 0.288675,8 0.288675,9 0.288675,10 0.288675,11 0.288675,12 0.288675,13 0.288675,14 0.288675,15 0.288675}
{0 0.316228,4 0.316228,7 0.316228,8 0.316228,10 0.316228,11 0.316228,12 0.316228,13 0.316228,14 0.316228,15 0.316228}
{0 0.258199,1 0.258199,2 0.258199,4 0.258199,5 0.258199,6 0.258199,7 0.258199,8 0.258199,9 0.258199,10 0.258199,11 0.258199,12 0.258199,13 0.258199,14 0.258199,15 0.258199}
{12 0.5,13 0.5,14 0.5,15 0.5}
{12 0.5,13 0.5,14 0.5,15 0.5}
{12 0.5,13 0.5,14 0.5,15 0.5}
{12 0.707107,13 0.707107}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{2 0.5,3 0.5,6 0.5,7 0.5}
{}
{11 1}
{}
{}
{0 0.408248,1 0.408248,2 0.408248,3 0.408248,4 0.408248,5 0.408248}
{0 1}
{}
{}
{}
{}
{}
{3 0.707107,7 0.707107}
{0 0.408248,1 0.408248,2 0.408248,3 0.408248,4 0.408248,5 0.408248}
{1 0.5,2 0.5,3 0.5,6 0.5}
{}
{13 1}
{}
{}
{}
{}
{2 0.5,3 0.5,6 0.5,7 0.5}
{0 0.333333,1 0.333333,2 0.333333,3 0.333333,4 0.333333,5 0.333333,6 0.333333,8 0.333333,9 0.333333}
{0 0.57735,1 0.57735,12 0.57735}
{1 0.447214,2 0.447214,3 0.447214,12 0.447214,13 0.447214}
{}
{3 0.57735,7 0.57735,11 0.57735}
{0 0.333333,1 0.333333,2 0.333333,3 0.333333,4 0.333333,5 0.333333,6 0.333333,7 0.333333,8 0.333333}
{}
{13 0.707107,14 0.707107}
{}
{1 0.5,4 0.5,5 0.5,6 0.5}
{2 0.707107,3 0.707107}
{0 1}
{}
{}
{}
{2 0.377964,3 0.377964,5 0.377964,6 0.377964,7 0.377964,10 0.377964,11 0.377964}
{4 0.707107,12 0.707107}
{}
{7 1}
{4 0.707107,5 0.707107}
{0 0.408248,1 0.408248,2 0.408248,3 0.408248,5 0.408248,6 0.408248}
{}
{2 0.5,3 0.5,6 0.5,7 0.5}
{0 0.707107,4 0.707107}
{7 0.707107,11 0.707107}
{1 0.301511,2 0.301511,3 0.301511,4 0.301511,5 0.301511,6 0.301511,7 0.301511,8 0.301511,9 0.301511,10 0.301511,11 0.301511}
{2 0.5,3 0.5,6 0.5,7 0.5}
{0 0.447214,1 0.447214,2 0.447214,3 0.447214,4 0.447214}
{}
{}
{5 0.5,6 0.5,7 0.5,9 0.5}
{0 0.447214,1 0.447214,2 0.447214,3 0.447214,4 0.447214}
{}
{}
{1 0.408248,2 0.408248,3 0.408248,6 0.408248,7 0.408248,11 0.408248}
{0 0.57735,4 0.57735,8 0.57735}
{11 0.707107,15 0.707107}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{4 0.377964,8 0.377964,9 0.377964,12 0.377964,13 0.377964,14 0.377964,15 0.377964}
{3 0.301511,6 0.301511,7 0.301511,8 0.301511,9 0.301511,10 0.301511,11 0.301511,12 0.301511,13 0.301511,14 0.301511,15 0.301511}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.5,4 0.5,8 0.5,12 0.5}
{}
{}
{}
{12 1}
{}
{}
{1 0.447214,2 0.447214,5 0.447214,6 0.447214,9 0.447214}
{}
{}
{}
{}
{1 0.333333,2 0.333333,3 0.333333,5 0.333333,6 0.333333,7 0.333333,10 0.333333,11 0.333333,15 0.333333}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.258199,1 0.258199,2 0.258199,3 0.258199,4 0.258199,5 0.258199,6 0.258199,7 0.258199,8 0.258199,9 0.258199,10 0.258199,11 0.258199,12 0.258199,13 0.258199,14 0.258199}
{0 0.707107,4 0.707107}
{15 1}
{0 0.258199,1 0.258199,2 0.258199,3 0.258199,4 0.258199,5 0.258199,6 0.258199,7 0.258199,8 0.258199,9 0.258199,10 0.258199,11 0.258199,12 0.258199,14 0.258199,15 0.258199}
{0 0.267261,1 0.267261,2 0.267261,3 0.267261,4 0.267261,5 0.267261,6 0.267261,7 0.267261,8 0.267261,9 0.267261,10 0.267261,11 0.267261,13 0.267261,14 0.267261}
{0 0.333333,4 0.333333,5 0.333333,8 0.333333,9 0.333333,10 0.333333,12 0.333333,13 0.333333,14 0.333333}
{}
{0 0.5,1 0.5,2 0.5,3 0.5}
{0 0.267261,1 0.267261,2 0.267261,3 0.267261,4 0.267261,5 0.267261,6 0.267261,7 0.267261,9 0.267261,10 0.267261,11 0.267261,13 0.267261,14 0.267261,15 0.267261}
{0 0.353553,1 0.353553,2 0.353553,3 0.353553,4 0.353553,5 0.353553,6 0.353553,7 0.353553}
{0 0.316228,1 0.316228,2 0.316228,3 0.316228,4 0.316228,5 0.316228,6 0.316228,7 0.316228,11 0.316228,15 0.316228}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{2 0.267261,3 0.267261,4 0.267261,5 0.267261,6 0.267261,7 0.267261,8 0.267261,9 0.267261,10 0.267261,11 0.267261,12 0.267261,13 0.267261,14 0.267261,15 0.267261}
{0 0.27735,1 0.27735,2 0.27735,3 0.27735,4 0.27735,5 0.27735,6 0.27735,7 0.27735,8 0.27735,9 0.27735,10 0.27735,11 0.27735,15 0.27735}
{0 0.301511,4 0.301511,5 0.301511,6 0.301511,7 0.301511,8 0.301511,9 0.301511,10 0.301511,11 0.301511,12 0.301511,13 0.301511}
{1 0.301511,2 0.301511,3 0.301511,4 0.301511,5 0.301511,6 0.301511,7 0.301511,8 0.301511,9 0.301511,10 0.301511,11 0.301511}
{0 0.316228,1 0.316228,2 0.316228,4 0.316228,5 0.316228,6 0.316228,7 0.316228,8 0.316228,10 0.316228,11 0.316228}
{3 0.301511,4 0.301511,5 0.301511,6 0.301511,7 0.301511,8 0.301511,9 0.301511,10 0.301511,11 0.301511,14 0.301511,15 0.301511}
{0 0.267261,1 0.267261,2 0.267261,3 0.267261,4 0.267261,5 0.267261,6 0.267261,7 0.267261,8 0.267261,9 0.267261,10 0.267261,11 0.267261,12 0.267261,13 0.267261}
{0 0.377964,1 0.377964,2 0.377964,4 0.377964,5 0.377964,6 0.377964,7 0.377964}
{1 0.267261,2 0.267261,3 0.267261,4 0.267261,5 0.267261,6 0.267261,7 0.267261,8 0.267261,9 0.267261,10 0.267261,11 0.267261,13 0.267261,14 0.267261,15 0.267261}
{0 0.301511,1 0.301511,2 0.301511,3 0.301511,4 0.301511,5 0.301511,6 0.301511,7 0.301511,8 0.301511,9 0.301511,12 0.301511}
{0 0.5,1 0.5,2 0.5,3 0.5}
{0 0.5,1 0.5,2 0.5,3 0.5}
{}
{2 0.707107,3 0.707107}
{}
{3 1}
{0 0.447214,1 0.447214,2 0.447214,3 0.447214,4 0.447214}
{0 0.447214,1 0.447214,2 0.447214,3 0.447214,7 0.447214}
{0 0.333333,1 0.333333,2 0.333333,4 0.333333,5 0.333333,6 0.333333,7 0.333333,9 0.333333,11 0.333333}
{2 0.316228,3 0.316228,4 0.316228,5 0.316228,6 0.316228,7 0.316228,8 0.316228,9 0.316228,10 0.316228,11 0.316228}
{4 0.353553,5 0.353553,6 0.353553,7 0.353553,8 0.353553,9 0.353553,10 0.353553,11 0.353553}
{4 0.316228,5 0.316228,8 0.316228,9 0.316228,10 0.316228,11 0.316228,12 0.316228,13 0.316228,14 0.316228,15 0.316228}
{8 0.353553,9 0.353553,10 0.353553,11 0.353553,12 0.353553,13 0.353553,14 0.353553,15 0.353553}
{12 0.5,13 0.5,14 0.5,15 0.5}
{8 0.447214,9 0.447214,12 0.447214,13 0.447214,14 0.447214}
{}
{}
{}
{}
{}
{}
{}
{14 0.707107,15 0.707107}
{8 0.353553,9 0.353553,10 0.353553,11 0.353553,12 0.353553,13 0.353553,14 0.353553,15 0.353553}
{9 0.447214,10 0.447214,12 0.447214,13 0.447214,14 0.447214}
{11 0.5,13 0.5,14 0.5,15 0.5}
{8 0.377964,9 0.377964,10 0.377964,12 0.377964,13 0.377964,14 0.377964,15 0.377964}
{10 0.408248,11 0.408248,12 0.408248,13 0.408248,14 0.408248,15 0.408248}
{8 0.408248,9 0.408248,12 0.408248,13 0.408248,14 0.408248,15 0.408248}
{12 0.5,13 0.5,14 0.5,15 0.5}
{12 0.5,13 0.5,14 0.5,15 0.5}
{12 1}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{3 1}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{11 1}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{}
{15 1}
{12 0.5,13 0.5,14 0.5,15 0.5}
{10 0.408248,11 0.408248,12 0.408248,13 0.408248,14 0.408248,15 0.408248}
{4 0.301511,5 0.301511,6 0.301511,8 0.301511,9 0.301511,10 0.301511,11 0.301511,12 0.301511,13 0.301511,14 0.301511,15 0.301511}
{3 0.288675,5 0.288675,6 0.288675,7 0.288675,8 0.288675,9 0.288675,10 0.288675,11 0.288675,12 0.288675,13 0.288675,14 0.288675,15 0.288675}
{0 0.5,4 0.5,8 0.5,12 0.5}
{3 1}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.25,1 0.25,2 0.25,3 0.25,4 0.25,5 0.25,6 0.25,7 0.25,8 0.25,9 0.25,10 0.25,11 0.25,12 0.25,13 0.25,14 0.25,15 0.25}
{0 0.707107,4 0.707107}
{}
{11 0.707107,15 0.707107}
{8 0.707107,12 0.707107}
{}
{}
{}
{2 1}
{}
{13 0.57735,14 0.57735,15 0.57735}
{}
{}
{}
{1 0.5,2 0.5,3 0.5,7 0.5}
{0 0.333333,1 0.333333,2 0.333333,3 0.333333,4 0.333333,5 0.333333,6 0.333333,7 0.333333,11 0.333333}
